,alpha,dim,cor
0,2.0,2.0,0.33723046859272754
1,2.0,5.0,0.3174835302841689
2,2.0,13.0,0.31555346548428803
3,2.0,34.0,0.28417833100645973
4,2.0,88.0,0.2435095356386078
5,2.0,227.0,0.19516569807753786
6,2.0,585.0,0.18161706517342163
7,2.0,1507.0,0.1781284798790791
8,2.0,3882.0,0.1850876138826223
9,2.0,10000.0,0.16435492477037308
10,3.0,2.0,0.35048296752418073
11,3.0,5.0,0.3417773584442683
12,3.0,13.0,0.3871065961404444
13,3.0,34.0,0.41286007678112646
14,3.0,88.0,0.4050176735041262
15,3.0,227.0,0.3872170917124849
16,3.0,585.0,0.2907868240349276
17,3.0,1507.0,0.25957189069344644
18,3.0,3882.0,0.22311379693426658
19,3.0,10000.0,0.1894849725817663
20,4.0,2.0,0.3607788780403773
21,4.0,5.0,0.3803445853229448
22,4.0,13.0,0.4832312105967689
23,4.0,34.0,0.5572948066632332
24,4.0,88.0,0.596289388418995
25,4.0,227.0,0.6234198233561966
26,4.0,585.0,0.6361972769633728
27,4.0,1507.0,0.5661392856287166
28,4.0,3882.0,0.35396456627293604
29,4.0,10000.0,0.2788714829375264
30,5.0,2.0,0.36487028568097474
31,5.0,5.0,0.40118584891139725
32,5.0,13.0,0.5288841484026547
33,5.0,34.0,0.6390359446728915
34,5.0,88.0,0.6907961380063362
35,5.0,227.0,0.7564449278799568
36,5.0,585.0,0.8019321418845559
37,5.0,1507.0,0.7746418943348065
38,5.0,3882.0,0.5986598476694751
39,5.0,10000.0,0.41994005186949046
40,6.0,2.0,0.3758140370504431
41,6.0,5.0,0.41488912301062997
42,6.0,13.0,0.5672038851588581
43,6.0,34.0,0.6886983878306364
44,6.0,88.0,0.7472762660883473
45,6.0,227.0,0.8204536149049931
46,6.0,585.0,0.8657378597227854
47,6.0,1507.0,0.8591419343211466
48,6.0,3882.0,0.7914438038556342
49,6.0,10000.0,0.6368421368074568
50,inf,2.0,0.3982794648616407
51,inf,5.0,0.5136430531195072
52,inf,13.0,0.710593579181133
53,inf,34.0,0.8399355199395186
54,inf,88.0,0.9024779989555712
55,inf,227.0,0.9526921006085174
56,inf,585.0,0.9712832823871261
57,inf,1507.0,0.9815244758796079
58,inf,3882.0,0.9839361642411081
59,inf,10000.0,0.9241221701252447
