,size,dim,cor
0,25.0,2.0,0.29082823075023656
1,25.0,5.0,0.3419638787994173
2,25.0,13.0,0.31543955375128296
3,25.0,34.0,0.3332604479175231
4,25.0,88.0,0.31975882155494334
5,25.0,227.0,0.27686730308465785
6,25.0,585.0,0.24444622483367737
7,25.0,1507.0,0.2122045750227485
8,25.0,3882.0,0.17882059684892188
9,25.0,10000.0,0.1685568280732161
10,50.0,2.0,0.2662369030615436
11,50.0,5.0,0.2821061946724219
12,50.0,13.0,0.3071612749673449
13,50.0,34.0,0.3385357385458429
14,50.0,88.0,0.3321837146404317
15,50.0,227.0,0.29519214207125205
16,50.0,585.0,0.23720847974546128
17,50.0,1507.0,0.17693387176276545
18,50.0,3882.0,0.1692898575370397
19,50.0,10000.0,0.1321523733333584
20,100.0,2.0,0.24695532578666907
21,100.0,5.0,0.301140975154013
22,100.0,13.0,0.35237012231610365
23,100.0,34.0,0.3719284320271134
24,100.0,88.0,0.4024046064254055
25,100.0,227.0,0.3172982502023443
26,100.0,585.0,0.2845004366121577
27,100.0,1507.0,0.20062629657336775
28,100.0,3882.0,0.15632589566271413
29,100.0,10000.0,0.10765905566339534
